Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
   63    2 0xffffff7f817a5000 0x5000     0x5000     com.apple.driver.AppleEFIRuntime (2.1) EEB76509-0D2E-3CA5-A44B-361799033161 <8 7 6 5 3>
   64    2 0xffffff7f817aa000 0xe000     0xe000     com.apple.driver.AppleEFINVRAM (2.1) 6B3E9057-454A-3220-8AE3-424808CDA9E5 <63 8 7 6 5 3 1>
   65    0 0xffffff7f817b8000 0x99000    0x99000    com.apple.iokit.IOUSBFamily (900.4.2) 3AEBCBF6-21D4-3BDE-8732-1D3984F73392 <27 25 13 8 6 5 3 1>
   66    0 0xffffff7f81aeb000 0x6000     0x6000     com.apple.driver.usb.AppleUSBHostPacketFilter (1.0) DCE0B97D-C5AE-38F5-B6AA-BBEDC9AA3CCB <27 25 8 7 6 5 3 1>
   67    1 0xffffff7f81963000 0x48000    0x48000    com.apple.driver.usb.AppleUSBEHCI (1.2) 2DCEB156-26A6-32DB-B429-B92A56F9874F <27 25 12 8 7 6 5 3 1>
   68    0 0xffffff7f819b0000 0xf000     0xf000     com.apple.driver.usb.AppleUSBEHCIPCI (1.2) F2C802FB-B9F0-31B9-AF44-61B5D9410650 <67 27 25 13 12 8 7 6 5 3 1>
   69    0 0xffffff7f84a42000 0x10000    0x10000    ru.joedm.SMCSuperIO (1.1.2) 648C9CEF-18A2-30D2-91A1-B90F2865D4C3 <46 42 12 8 6 5 3 2 1>
   70    2 0xffffff7f825b8000 0x1b000    0x1b000    com.apple.iokit.IOAHCIFamily (290.0.1) A8D93EB8-955C-3216-A267-5A3C74B8AE04 <6 5 3 1>
   71    0 0xffffff7f8354b000 0x17000    0x17000    com.apple.driver.AppleAHCIPort (341.0.2) 111C2F71-4172-3228-9139-FFDDCBF2A1B7 <70 13 6 5 3 1>
   72    1 0xffffff7f8186e000 0x5000     0x5000     com.apple.filesystems.hfs.encodings.kext (1) 6903FC65-4F1E-346A-A0FB-C8198EDC5206 <8 7 6 5 3 1>
   73    1 0xffffff7f80c9c000 0x47000    0x47000    com.apple.iokit.IOSkywalkFamily (1) 7F77753D-3290-35D5-8603-09DC66FF6BAB <18 8 7 6 5 3 1>
   75    0 0xffffff7f818fa000 0xd000     0xd000     com.apple.AppleFSCompression.AppleFSCompressionTypeZlib (1.0.0) 154AC39A-A71C-3543-B899-F2F56329DC0F <7 5 3 2 1>
   76    0 0xffffff7f82128000 0x10000    0x10000    com.apple.BootCache (40) 8326F32E-39DC-3C40-A8D6-9348E633F28D <8 7 6 5 3 1>
   77    1 0xffffff7f82656000 0x7000     0x7000     com.apple.driver.mDNSOffloadUserClient (1.0.1b8) 9A4F333F-A231-35F0-8E01-15C2E93D9D18 <18 5 3 1>
   78    3 0xffffff7f8147c000 0x7000     0x7000     com.apple.iokit.IOEthernetAVBController (1.1.0) 64CB2E91-8AE1-3AF2-98AD-5BE8CEB9C152 <18 6 5 3 1>
   79    0 0xffffff7f8265d000 0x2e000    0x2e000    com.apple.driver.AppleIntelI210Ethernet (2.3.1) 4CD8E364-076D-3986-835C-505A327AFFB0 <78 77 18 13 6 5 3 1>
   80    0 0xffffff7f82891000 0x4000     0x4000     com.apple.AppleFSCompression.AppleFSCompressionTypeDataless (1.0.0d1) 453461B6-F05B-3530-B119-2315D3C4D27B <8 7 5 3 2 1>
   81    2 0xffffff7f82898000 0x2f000    0x2f000    com.apple.iokit.IOSurface (269.11) E71EAC82-A838-3430-B5D1-2CB347E6CF59 <8 7 6 5 3 1>
   82    0 0xffffff7f83396000 0x6b000    0x6b000    com.apple.filesystems.hfs.kext (522.100.5) 25CB454D-1B0F-3C1D-BAF4-FF66B984E731 <72 8 7 6 5 3 1>
   83    1 0xffffff7f819c2000 0x58000    0x58000    com.apple.driver.usb.AppleUSBXHCI (1.2) 08964881-BCC5-3A07-B3CA-DF5B3512B740 <27 25 12 8 7 6 5 3 1>
   84    0 0xffffff7f81af1000 0x35000    0x35000    com.apple.driver.usb.AppleUSBXHCIPCI (1.2) 5B0343A2-9C4B-3A81-81C3-03601B394CED <83 27 25 13 12 8 7 6 5 3 1>
   85    3 0xffffff7f8260f000 0xe000     0xe000     com.apple.iokit.IOSerialFamily (11) 5E856447-43DC-3AE4-BC25-2CBBEFFBCBA5 <8 7 6 5 3 1>
   86    1 0xffffff7f80fc7000 0xac000    0xac000    com.apple.vecLib.kext (1.2.0) 3DA88A27-5F72-33B9-A52A-BD31291DF15E <9 7 6 5 3>
   87    4 0xffffff7f81073000 0x3f000    0x3f000    com.apple.iokit.IOAudioFamily (300.2) 507AE43D-3552-3758-B28D-BE87BC908B4A <86 6 5 3 1>
   88    0 0xffffff7f835c0000 0x28000    0x28000    com.apple.driver.AppleVirtIO (1.0) D6160554-324C-348C-8150-09182529C5DD <87 85 28 18 13 6 5 3 1>
   89    0 0xffffff7f8318b000 0x43000    0x43000    com.apple.iokit.IONVMeFamily (2.1.0) 3DB9BFC6-422F-39A2-A445-AB2732CE5BFC <64 28 21 17 13 8 7 6 5 3 1>
   92    0 0xffffff7f825e3000 0x28000    0x28000    com.apple.iokit.IOAHCIBlockStorage (316.100.5) 8FB75861-694C-34B1-AEA5-6C1048C612E0 <70 64 28 7 6 5 3 1>
   94    3 0xffffff7f81f26000 0x13c000   0x13c000   com.apple.filesystems.apfs (1412.101.1) EA36BB76-1D94-32FF-9D55-4CBAA20C8F5A <38 28 10 8 7 6 5 3 2 1>
   95    0 0xffffff7f81a21000 0x36000    0x36000    com.apple.driver.usb.AppleUSBHub (1.2) 61CAD42A-9587-3797-9653-9286F48D72F5 <27 25 12 6 5 3 1>
   96    0 0xffffff7f81726000 0x8000     0x8000     com.apple.driver.usb.AppleUSBHostCompositeDevice (1.2) 01583714-3EC3-3816-8811-0E5BBDBAF768 <27 25 7 6 5 3 1>
   97    0 0xffffff7f81925000 0x8000     0x8000     com.apple.driver.usb.networking (5.0.0) DF9504F6-87C7-3849-B79D-DBADAEF9980E <27 7 6 5 3 1>
  102    1 0xffffff7f82620000 0xf000     0xf000     com.apple.driver.Apple16X50Serial (3.2) 31587AC0-742D-3214-9ED7-7F5328428762 <85 13 6 5 3>
